MarkerID,Chrom
AVRIG02172,chr2H
AVRIG09648,chr5H
AVRIG09504,chr5H
AVRIG08208,chr5H
AVRIG04961,chr3H
AVRIG03665,chr2H
AVRIG03521,chr2H
AVRIG00109,chr1H
AVRIG02225,chr2H
AVRIG02369,chr2H
AVRIG01405,chr1H
AVRIG01549,chr2H
AVRIG13394,chr7H
AVRIG13250,chr7H
AVRIG12098,chr7H
AVRIG13303,chr7H
AVRIG12007,chr6H
AVRIG08373,chr5H
AVRIG07077,chr4H
AVRIG01570,chr2H
AVRIG00130,chr1H
AVRIG00274,chr1H
AVRIG09866,chr5H
AVRIG09722,chr5H
AVRIG00803,chr1H
AVRIG00947,chr1H
AVRIG01623,chr2H
AVRIG01767,chr2H
AVRIG12792,chr7H
AVRIG11496,chr6H
AVRIG11352,chr6H
AVRIG10056,chr5H
Uah28,chr4H
JHI-Hv50k-2016-86045,chr2H
AVRIG12989,chr7H
AVRIG12845,chr7H
AVRIG12701,chr7H
AVRIG11549,chr6H
AVRIG06475,chr4H
AVRIG06331,chr4H
AVRIG05179,chr3H
AVRIG05035,chr3H
AVRIG07968,chr5H
AVRIG07824,chr4H
AVRIG05708,chr3H
AVRIG10894,chr6H
AVRIG10750,chr6H
AVRIG04380,chr3H
AVRIG03084,chr2H
AVRIG10947,chr6H
AVRIG10803,chr6H
AVRIG03137,chr2H
AVRIG02317,chr2H
AVRIG37064,chr5H
AVRIG09285,chr5H
AVRIG09141,chr5H
AVRIG01042,chr1H
AVRIG01186,chr1H
AVRIG02482,chr2H
AVRIG37117,chr6H
AVRIG08518,chr5H
AVRIG03975,chr3H
AVRIG03831,chr3H
AVRIG01715,chr2H
AVRIG01859,chr2H
AVRIG00419,chr1H
AVRIG02535,chr2H
AVRIG13560,chr7H
AVRIG12264,chr7H
AVRIG12120,chr7H
AVRIG07190,chr4H
AVRIG13757,chr7H
AVRIG12317,chr7H
AVRIG07243,chr4H
AVRIG01880,chr2H
AVRIG00440,chr1H
AVRIG00584,chr1H
AVRIG36659,chr2H
AVRIG08736,chr5H
AVRIG01933,chr2H
AVRIG11662,chr6H
AVRIG10366,chr5H
AVRIG10222,chr5H
AVRIG36680,chr3H
AVRIG11859,chr6H
AVRIG11715,chr6H
AVRIG06785,chr4H
AVRIG06641,chr4H
AVRIG05489,chr3H
AVRIG04049,chr3H
AVRIG03229,chr2H
AVRIG35913,chr2H
AVRIG04690,chr3H
AVRIG03394,chr2H
AVRIG03250,chr2H
AVRIG02098,chr2H
AVRIG04887,chr3H
AVRIG04743,chr3H
AVRIG03447,chr2H
AVRIG03303,chr2H
AVRIG02627,chr2H
AVRIG13176,chr7H
AVRIG13032,chr7H
AVRIG37230,chr5H
Chr_5_560588191,chr5H
AVRIG13229,chr7H
AVRIG09595,chr5H
AVRIG09451,chr5H
AVRIG08299,chr5H
AVRIG08155,chr5H
AVRIG08011,chr5H
AVRIG01352,chr1H
AVRIG01496,chr2H
AVRIG11081,chr6H
AVRIG02792,chr2H
AVRIG08828,chr5H
AVRIG02989,chr2H
AVRIG00729,chr1H
AVRIG02701,chr2H
AVRIG02845,chr2H
AVRIG13870,chr7H
AVRIG12574,chr7H
AVRIG12430,chr7H
AVRIG11278,chr6H
AVRIG11134,chr6H
AVRIG06060,chr3H
AVRIG36772,chr5H
AVRIG13923,chr7H
AVRIG12627,chr7H
AVRIG08993,chr5H
AVRIG07697,chr4H
AVRIG07553,chr4H
AVRIG06257,chr4H
AVRIG06113,chr3H
AVRIG00750,chr1H
AVRIG00894,chr1H
AVRIG36969,chr3H
AVRIG36825,chr7H
AVRIG08902,chr5H
AVRIG11972,chr6H
AVRIG10676,chr6H
AVRIG10532,chr6H
AVRIG04162,chr3H
AVRIG36990,chr3H
AVRIG05799,chr3H
AVRIG05655,chr3H
AVRIG05511,chr3H
AVRIG04359,chr3H
AVRIG04215,chr3H
AVRIG03539,chr2H
AVRIG06951,chr3H
AVRIG09067,chr5H
AVRIG03560,chr2H
AVRIG02120,chr2H
AVRIG02264,chr2H
AVRIG03757,chr2H
AVRIG02937,chr2H
AVRIG13486,chr7H
AVRIG13342,chr7H
AVRIG12046,chr7H
AVRIG13539,chr7H
AVRIG09761,chr5H
AVRIG08465,chr5H
AVRIG08321,chr5H
AVRIG07169,chr4H
AVRIG07025,chr4H
AVRIG00222,chr1H
AVRIG00366,chr1H
AVRIG11391,chr6H
Uah67,chr5H
AVRIG09958,chr5H
AVRIG12884,chr7H
AVRIG12740,chr7H
AVRIG11588,chr6H
AVRIG11300,chr6H
AVRIG10148,chr5H
AVRIG10004,chr5H
AVRIG06370,chr4H
AVRIG05074,chr3H
AVRIG12937,chr7H
AVRIG06567,chr4H
AVRIG06423,chr4H
AVRIG05127,chr3H
AVRIG10986,chr6H
AVRIG10842,chr6H
AVRIG04472,chr3H
AVRIG03176,chr2H
AVRIG03032,chr2H
AVRIG05965,chr3H
AVRIG05821,chr3H
AVRIG04669,chr3H
AVRIG04525,chr3H
AVRIG03849,chr3H
AVRIG02409,chr2H
AVRIG09180,chr5H
AVRIG01081,chr1H
AVRIG37156,chr7H
AVRIG37012,chr4H
AVRIG09377,chr5H
AVRIG09233,chr5H
AVRIG03870,chr3H
AVRIG02430,chr2H
AVRIG02574,chr2H
AVRIG01134,chr1H
AVRIG37209,chr3H
AVRIG03923,chr3H
AVRIG01807,chr2H
AVRIG13796,chr7H
AVRIG13652,chr7H
AVRIG12356,chr7H
AVRIG12212,chr7H
AVRIG07282,chr4H
AVRIG36698,chr3H
JHI-Hv50k-2016-228182,chr4H
AVRIG13849,chr7H
AVRIG12409,chr7H
AVRIG08631,chr5H
AVRIG07479,chr4H
AVRIG07335,chr4H
AVRIG06039,chr3H
AVRIG05219,chr3H
AVRIG01972,chr2H
AVRIG00532,chr1H
AVRIG00676,chr1H
AVRIG36607,chr1H
AVRIG10261,chr5H
AVRIG11898,chr6H
AVRIG11754,chr6H
AVRIG11610,chr6H
